Артикул;Название товара;Бренд;Остаток на складе;Оптовая цена;Розничная цена;Ссылка на сайте
DTXC2947;Колёса Duratrax Перед/Зад для моделей Traxxas Slash, ECX 4x4 12 мм;Duratrax;7;1836.00;2340.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/kolesa_shiny_i_diski_vstavki/kolesa_v_sbore_rezina_diski_vstavki_dlya_short_kors_trakov_1_10/speedtreads_shootout_sc_front_rear_mounted_2_traxxas_slash_ecx_4x4/
C182-002;Набор крыла для Cessna 182;Sonic Modell;7;2792.00;3490.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/krylya/nabor_kryla_dlya_cessna_182/
H50129T;Комплект шаровых соединений Align 500FL, сталь, T-Rex 500 3G;Align;6;110.00;130.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/tyagi_kachalki_sharniry_rychagi/komplekt_sharovykh_soedineniy_500fl_stal_t_rex_500_3g/
HN7083T;Блок подшипников сцепления в сборе Align, пластик, T-Rex 700N;Align;6;119.00;140.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/detali_stsepleniya/blok_podshipnikov_stsepleniya_v_sbore_plastik_t_rex_700n/
EFLH1463;Корпус хвостового редуктора Blade, B400;Blade;6;90.00;50.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_khvostovogo_rotora/korpus_khvostovogo_reduktora_b400/
EFLH1440;Качалки управления элеватором Blade: 400, 450 3D;Blade;6;83.00;50.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/tyagi_kachalki_sharniry_rychagi/kachalki_upravleniya_elevatorom_blade_400_450_3d/
EFLH1510;Фиксатор основного вала Blade: SR;Blade;6;85.00;50.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/prochee_1/fiksator_osnovnogo_vala_blade_sr/
H25104T;Хаб основного ротора Align 250FL, CNC, серебристый, T-Rex 250 3G;Align;6;357.00;420.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_golovki_osnovnogo_rotora/khab_osnovnogo_rotora_250fl_cnc_serebristyy_t_rex_250_3g/
HN7030T;Блок крепления двигателя Align, T-Rex 700 Nitro Pro;Align;6;340.00;400.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/motoramy_2/blok_krepleniya_dvigatelya_t_rex_700_nitro_pro/
H70001T;Трубка для F3C сервооси Align, карбон, T-Rex 700E;Align;6;178.00;210.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_stabilizatora/trubka_dlya_f3c_servoosi_karbon_t_rex_700e/
